Operation;OperationType;Parameters;Example;Description;OutputDimensionalityChange
PadImage;Basic;positive or negative padvalue;"iMath(i,op,5)";pads or de-pads image by n voxels on all sides;0
D;Filter;None;"iMath(i,op)";distance transform;0
MaurerDistance;Filter;None;"iMath(i,op)";distance transform;0
PeronaMalik;Filter;"iterations, conductance";"iMath(i,op,10,0.5)";perona malik edge preserving smoothing;0
Grad;Filter;sigma;"iMath(i,op,1)";gradient magnitude;0
Laplacian;Filter;sigma;"iMath(i,op,1)";laplacian of intensity;0
Canny;Filter;"sigma, lower threshold, upper threshold";"iMath(i,op)";returns edge-detected image;0
MD;Morphology;element radius;"iMath(i,op,1)";dilation;0
ME;Morphology;element radius;"iMath(i,op,1)";erosion;0
MO;Morphology;element radius;"iMath(i,op,1)";opening;0
MC;Morphology;element radius;"iMath(i,op,1)";closing;0
GD;Morphology;element radius;"iMath(i,op,1)";grayscale dilation;0
GE;Morphology;element radius;"iMath(i,op,1)";grayscale erosion;0
GO;Morphology;element radius;"iMath(i,op,1)";grayscale opening;0
GC;Morphology;element radius;"iMath(i,op,1)";grayscale closing;0
FillHoles;LabelOp;None;"iMath(i,op)";fills holes in binary object;0
GetLargestComponent;LabelOp;None;"iMath(i,op)";returns largest portion of binary object;0
LabelStats;LabelOp;roiImage;"iMath(i,op,roiImg)";summarizes ROI values;NA
Neg;Intensity;None;"iMath(i,op)";create image negative;0
Normalize;Intensity;None;"iMath(i,op)";normalize intensity into 0 1 range;0
TruncateImageIntensity;Intensity;lower and upper quantile;"iMath(i,op,0.05,0.95)";trim intensities by quantiles;0
Sharpen;Intensity;None;"iMath(i,op)";makes edges sharper;0
ReflectionMatrix;Transformation;axis;"iMath(i,op,0)";returns a reflection matrix itk transform in filename form;NA
